
SB0 SB40 SB35 MeanRec HarMeanRec Bnow
174.218 69.6872 60.9763 0.128356 0.0455739 82.8099 
CV Recruit
1.34775 
Alternative 1 Alternative  Stock: ai22
Catch ai22
Year C0 Cabc Cofl LowCI_Catch Median_Catch Mean_Catch UpperCI_Catch Stdev_Catch 
2036  0 38.0719 40.258 11.6339 57.2115 61.6846 124.844 35.3843 

Spawning_Biomass ai22
Year SSB100 SSBabc SSBofl LowCI_SSB Median_SSB Mean_SSB UpperCI_SSB Stdev_SSB 
2022 174.218 69.6872 60.9763 79.8069 79.8069 79.8069 79.8069 1.7053e-012 
2023 174.218 69.6872 60.9763 77.3378 77.3388 77.34 77.3466 0.00358137 
2024 174.218 69.6872 60.9763 72.6221 72.6354 72.6496 72.7253 0.0417634 
2025 174.218 69.6872 60.9763 69.52 69.7203 69.9512 71.1663 0.670579 
2026 174.218 69.6872 60.9763 65.0423 67.7555 70.7207 86.583 8.80682 
2027 174.218 69.6872 60.9763 58.9154 68.1908 74.6799 111.602 20.2056 
2028 174.218 69.6872 60.9763 52.6808 71.7558 80.7442 142.14 31.561 
2029 174.218 69.6872 60.9763 47.4993 77.2016 87.2768 162.466 39.0316 
2030 174.218 69.6872 60.9763 43.6322 82.3818 93.7667 177.038 45.8574 
2031 174.218 69.6872 60.9763 40.7609 88.878 99.6326 198.105 52.0637 
2032 174.218 69.6872 60.9763 41.7514 92.821 104.509 203.774 55.8744 
2033 174.218 69.6872 60.9763 40.4202 97.7146 108.443 211.335 58.0152 
2034 174.218 69.6872 60.9763 38.8217 100.231 111.639 217.347 58.8785 
2035 174.218 69.6872 60.9763 37.8519 103.895 113.789 221.643 59.7068 
2036 174.218 69.6872 60.9763 37.9782 102.876 112.029 220.399 57.5156 

Fishing_mortalityai22
Year F0 Fabc Fofl LowCI_F Median_F Mean_F UpperCI_F Stdev_F 
2022  0 0.305473 0.37995 0.018114 0.018114 0.018114 0.018114 1.04083e-017 
2023  0 0.305473 0.37995 0.123339 0.124039 0.123927 0.124128 0.000318492 
2024  0 0.305473 0.37995 0.135658 0.138173 0.137786 0.138665 0.0011455 
2025  0 0.305473 0.37995 0.138857 0.146611 0.145505 0.148452 0.00352272 
2026  0 0.305473 0.37995 0.126734 0.147774 0.144848 0.153372 0.00920443 
2027  0 0.305473 0.37995 0.102839 0.145505 0.140545 0.16153 0.0189175 
2028  0 0.305473 0.37995 0.0775745 0.14048 0.135957 0.177712 0.0307699 
2029  0 0.305473 0.37995 0.0610425 0.13155 0.132263 0.200881 0.0425831 
2030  0 0.305473 0.37995 0.053688 0.121881 0.129069 0.229401 0.0539844 
2031  0 0.305473 0.37995 0.0493744 0.113257 0.125879 0.249031 0.0622261 
2032  0 0.305473 0.37995 0.0453926 0.106174 0.123333 0.256685 0.0692049 
2033  0 0.305473 0.37995 0.0443127 0.101893 0.121595 0.254408 0.0767868 
2034  0 0.305473 0.37995 0.0432702 0.0976747 0.120259 0.266498 0.0844437 
2035  0 0.305473 0.37995 0.0418215 0.0939151 0.118834 0.267688 0.0882513 
2036  0 0.305473 0.37995 0.159162 0.305473 0.280932 0.305473 0.06219 

Total_Biomassai22
Year B100 Babc Bofl LowCI_Biom Median_Biom Mean_Biom UpperCI_Biom Stdev_Biom 
2022 1060.57 295.687 274.53 253.922 253.922 253.922 253.922 4.49063e-012 
2023 1060.57 295.687 274.53 251.941 257.294 264.173 299.847 19.5783 
2024 1060.57 295.687 274.53 235.947 253.995 265.892 338.258 37.2805 
2025 1060.57 295.687 274.53 219.848 257.663 275.1 391.24 61.4126 
2026 1060.57 295.687 274.53 205.606 267.312 289.147 451.771 83.9102 
2027 1060.57 295.687 274.53 192.686 280.235 305.904 502.925 106.529 
2028 1060.57 295.687 274.53 183.93 292.168 323.471 561.344 128.497 
2029 1060.57 295.687 274.53 176.676 311.994 340.182 608.188 144.517 
2030 1060.57 295.687 274.53 172.631 328.256 354.707 631.435 156.383 
2031 1060.57 295.687 274.53 169.1 336.8 367.255 658.82 163.8 
2032 1060.57 295.687 274.53 167.315 345.478 376.445 663.729 168.804 
2033 1060.57 295.687 274.53 162.532 356.103 383.906 699.313 171.766 
2034 1060.57 295.687 274.53 163.537 366.503 390.228 712.202 172.043 
2035 1060.57 295.687 274.53 170.581 370.223 395.185 718.493 172.033 
2036 1060.57 295.687 274.53 177.156 372.269 399.822 718.554 171.099 
Alternative 3 Alternative  Stock: ai22
Catch ai22
Year C0 Cabc Cofl LowCI_Catch Median_Catch Mean_Catch UpperCI_Catch Stdev_Catch 
2022  0 38.0719 40.258 3 3 3 3 3.95239e-014 
2023  0 38.0719 40.258 19 19 19 19 4.80919e-007 
2024  0 38.0719 40.258 19 19 19 19 1.59386e-006 
2025  0 38.0719 40.258 19 19 19 19 1.51823e-006 
2026  0 38.0719 40.258 19 19 19 19 1.14009e-006 
2027  0 38.0719 40.258 19 19 19 19 2.6494e-006 
2028  0 38.0719 40.258 19 19 19 19 4.86403e-006 
2029  0 38.0719 40.258 19 19 19 19 4.72695e-006 
2030  0 38.0719 40.258 19 19 19 19 5.06065e-006 
2031  0 38.0719 40.258 19 19 19 19 4.97581e-006 
2032  0 38.0719 40.258 19 19 19 19 4.86337e-006 
2033  0 38.0719 40.258 19 19 19 19 4.89313e-006 
2034  0 38.0719 40.258 19 19 19 19 4.97565e-006 
2035  0 38.0719 40.258 19 19 19 19 4.82517e-006 
2036  0 38.0719 40.258 1.95279 5.50703 6.08247 12.061 3.21882 

Spawning_Biomass ai22
Year SSB100 SSBabc SSBofl LowCI_SSB Median_SSB Mean_SSB UpperCI_SSB Stdev_SSB 
2022 174.218 69.6872 60.9763 79.8069 79.8069 79.8069 79.8069 1.7053e-012 
2023 174.218 69.6872 60.9763 77.3378 77.3388 77.34 77.3466 0.00358137 
2024 174.218 69.6872 60.9763 72.6221 72.6354 72.6496 72.7253 0.0417634 
2025 174.218 69.6872 60.9763 69.52 69.7203 69.9512 71.1663 0.670579 
2026 174.218 69.6872 60.9763 65.0423 67.7555 70.7207 86.583 8.80682 
2027 174.218 69.6872 60.9763 58.9154 68.1908 74.6799 111.602 20.2056 
2028 174.218 69.6872 60.9763 52.6808 71.7558 80.7442 142.14 31.561 
2029 174.218 69.6872 60.9763 47.4993 77.2016 87.2768 162.466 39.0316 
2030 174.218 69.6872 60.9763 43.6322 82.3818 93.7667 177.038 45.8574 
2031 174.218 69.6872 60.9763 40.7609 88.878 99.6326 198.105 52.0637 
2032 174.218 69.6872 60.9763 41.7514 92.821 104.509 203.774 55.8744 
2033 174.218 69.6872 60.9763 40.4202 97.7146 108.443 211.335 58.0152 
2034 174.218 69.6872 60.9763 38.8217 100.231 111.639 217.347 58.8785 
2035 174.218 69.6872 60.9763 37.8519 103.895 113.789 221.643 59.7068 
2036 174.218 69.6872 60.9763 38.5909 106.05 116.18 229.907 59.9468 

Fishing_mortalityai22
Year F0 Fabc Fofl LowCI_F Median_F Mean_F UpperCI_F Stdev_F 
2022  0 0.305473 0.37995 0.018114 0.018114 0.018114 0.018114 1.04083e-017 
2023  0 0.305473 0.37995 0.123339 0.124039 0.123927 0.124128 0.000318492 
2024  0 0.305473 0.37995 0.135658 0.138173 0.137786 0.138665 0.0011455 
2025  0 0.305473 0.37995 0.138857 0.146611 0.145505 0.148452 0.00352272 
2026  0 0.305473 0.37995 0.126734 0.147774 0.144848 0.153372 0.00920443 
2027  0 0.305473 0.37995 0.102839 0.145505 0.140545 0.16153 0.0189175 
2028  0 0.305473 0.37995 0.0775745 0.14048 0.135957 0.177712 0.0307699 
2029  0 0.305473 0.37995 0.0610425 0.13155 0.132263 0.200881 0.0425831 
2030  0 0.305473 0.37995 0.053688 0.121881 0.129069 0.229401 0.0539844 
2031  0 0.305473 0.37995 0.0493744 0.113257 0.125879 0.249031 0.0622261 
2032  0 0.305473 0.37995 0.0453926 0.106174 0.123333 0.256685 0.0692049 
2033  0 0.305473 0.37995 0.0443127 0.101893 0.121595 0.254408 0.0767868 
2034  0 0.305473 0.37995 0.0432702 0.0976747 0.120259 0.266498 0.0844437 
2035  0 0.305473 0.37995 0.0418215 0.0939151 0.118834 0.267688 0.0882513 
2036  0 0.305473 0.37995 0.0262659 0.0262659 0.0262659 0.0262659 4.61436e-016 

Total_Biomassai22
Year B100 Babc Bofl LowCI_Biom Median_Biom Mean_Biom UpperCI_Biom Stdev_Biom 
2022 1060.57 295.687 274.53 253.922 253.922 253.922 253.922 4.49063e-012 
2023 1060.57 295.687 274.53 251.941 257.294 264.173 299.847 19.5783 
2024 1060.57 295.687 274.53 235.947 253.995 265.892 338.258 37.2805 
2025 1060.57 295.687 274.53 219.848 257.663 275.1 391.24 61.4126 
2026 1060.57 295.687 274.53 205.606 267.312 289.147 451.771 83.9102 
2027 1060.57 295.687 274.53 192.686 280.235 305.904 502.925 106.529 
2028 1060.57 295.687 274.53 183.93 292.168 323.471 561.344 128.497 
2029 1060.57 295.687 274.53 176.676 311.994 340.182 608.188 144.517 
2030 1060.57 295.687 274.53 172.631 328.256 354.707 631.435 156.383 
2031 1060.57 295.687 274.53 169.1 336.8 367.255 658.82 163.8 
2032 1060.57 295.687 274.53 167.315 345.478 376.445 663.729 168.804 
2033 1060.57 295.687 274.53 162.532 356.103 383.906 699.313 171.766 
2034 1060.57 295.687 274.53 163.537 366.503 390.228 712.202 172.043 
2035 1060.57 295.687 274.53 170.581 370.223 395.185 718.493 172.033 
2036 1060.57 295.687 274.53 177.156 372.269 399.822 718.554 171.099 
Alternative 4 Alternative  Stock: ai22
Catch ai22
Year C0 Cabc Cofl LowCI_Catch Median_Catch Mean_Catch UpperCI_Catch Stdev_Catch 
2022  0 38.0719 40.258 3 3 3 3 3.95239e-014 
2023  0 38.0719 40.258 19 19 19 19 4.80919e-007 
2024  0 38.0719 40.258 19 19 19 19 1.59386e-006 
2025  0 38.0719 40.258 19 19 19 19 1.51823e-006 
2026  0 38.0719 40.258 19 19 19 19 1.14009e-006 
2027  0 38.0719 40.258 19 19 19 19 2.6494e-006 
2028  0 38.0719 40.258 19 19 19 19 4.86403e-006 
2029  0 38.0719 40.258 19 19 19 19 4.72695e-006 
2030  0 38.0719 40.258 19 19 19 19 5.06065e-006 
2031  0 38.0719 40.258 19 19 19 19 4.97581e-006 
2032  0 38.0719 40.258 19 19 19 19 4.86337e-006 
2033  0 38.0719 40.258 19 19 19 19 4.89313e-006 
2034  0 38.0719 40.258 19 19 19 19 4.97565e-006 
2035  0 38.0719 40.258 19 19 19 19 4.82517e-006 
2036  0 38.0719 40.258 9.62715 27.0716 29.6186 58.9744 16.1311 

Spawning_Biomass ai22
Year SSB100 SSBabc SSBofl LowCI_SSB Median_SSB Mean_SSB UpperCI_SSB Stdev_SSB 
2022 174.218 69.6872 60.9763 79.8069 79.8069 79.8069 79.8069 1.7053e-012 
2023 174.218 69.6872 60.9763 77.3378 77.3388 77.34 77.3466 0.00358137 
2024 174.218 69.6872 60.9763 72.6221 72.6354 72.6496 72.7253 0.0417634 
2025 174.218 69.6872 60.9763 69.52 69.7203 69.9512 71.1663 0.670579 
2026 174.218 69.6872 60.9763 65.0423 67.7555 70.7207 86.583 8.80682 
2027 174.218 69.6872 60.9763 58.9154 68.1908 74.6799 111.602 20.2056 
2028 174.218 69.6872 60.9763 52.6808 71.7558 80.7442 142.14 31.561 
2029 174.218 69.6872 60.9763 47.4993 77.2016 87.2768 162.466 39.0316 
2030 174.218 69.6872 60.9763 43.6322 82.3818 93.7667 177.038 45.8574 
2031 174.218 69.6872 60.9763 40.7609 88.878 99.6326 198.105 52.0637 
2032 174.218 69.6872 60.9763 41.7514 92.821 104.509 203.774 55.8744 
2033 174.218 69.6872 60.9763 40.4202 97.7146 108.443 211.335 58.0152 
2034 174.218 69.6872 60.9763 38.8217 100.231 111.639 217.347 58.8785 
2035 174.218 69.6872 60.9763 37.8519 103.895 113.789 221.643 59.7068 
2036 174.218 69.6872 60.9763 38.0905 104.805 114.515 226.172 59.0251 

Fishing_mortalityai22
Year F0 Fabc Fofl LowCI_F Median_F Mean_F UpperCI_F Stdev_F 
2022  0 0.305473 0.37995 0.018114 0.018114 0.018114 0.018114 1.04083e-017 
2023  0 0.305473 0.37995 0.123339 0.124039 0.123927 0.124128 0.000318492 
2024  0 0.305473 0.37995 0.135658 0.138173 0.137786 0.138665 0.0011455 
2025  0 0.305473 0.37995 0.138857 0.146611 0.145505 0.148452 0.00352272 
2026  0 0.305473 0.37995 0.126734 0.147774 0.144848 0.153372 0.00920443 
2027  0 0.305473 0.37995 0.102839 0.145505 0.140545 0.16153 0.0189175 
2028  0 0.305473 0.37995 0.0775745 0.14048 0.135957 0.177712 0.0307699 
2029  0 0.305473 0.37995 0.0610425 0.13155 0.132263 0.200881 0.0425831 
2030  0 0.305473 0.37995 0.053688 0.121881 0.129069 0.229401 0.0539844 
2031  0 0.305473 0.37995 0.0493744 0.113257 0.125879 0.249031 0.0622261 
2032  0 0.305473 0.37995 0.0453926 0.106174 0.123333 0.256685 0.0692049 
2033  0 0.305473 0.37995 0.0443127 0.101893 0.121595 0.254408 0.0767868 
2034  0 0.305473 0.37995 0.0432702 0.0976747 0.120259 0.266498 0.0844437 
2035  0 0.305473 0.37995 0.0418215 0.0939151 0.118834 0.267688 0.0882513 
2036  0 0.305473 0.37995 0.134629 0.134629 0.130187 0.134629 0.0240497 

Total_Biomassai22
Year B100 Babc Bofl LowCI_Biom Median_Biom Mean_Biom UpperCI_Biom Stdev_Biom 
2022 1060.57 295.687 274.53 253.922 253.922 253.922 253.922 4.49063e-012 
2023 1060.57 295.687 274.53 251.941 257.294 264.173 299.847 19.5783 
2024 1060.57 295.687 274.53 235.947 253.995 265.892 338.258 37.2805 
2025 1060.57 295.687 274.53 219.848 257.663 275.1 391.24 61.4126 
2026 1060.57 295.687 274.53 205.606 267.312 289.147 451.771 83.9102 
2027 1060.57 295.687 274.53 192.686 280.235 305.904 502.925 106.529 
2028 1060.57 295.687 274.53 183.93 292.168 323.471 561.344 128.497 
2029 1060.57 295.687 274.53 176.676 311.994 340.182 608.188 144.517 
2030 1060.57 295.687 274.53 172.631 328.256 354.707 631.435 156.383 
2031 1060.57 295.687 274.53 169.1 336.8 367.255 658.82 163.8 
2032 1060.57 295.687 274.53 167.315 345.478 376.445 663.729 168.804 
2033 1060.57 295.687 274.53 162.532 356.103 383.906 699.313 171.766 
2034 1060.57 295.687 274.53 163.537 366.503 390.228 712.202 172.043 
2035 1060.57 295.687 274.53 170.581 370.223 395.185 718.493 172.033 
2036 1060.57 295.687 274.53 177.156 372.269 399.822 718.554 171.099 
Alternative 5 Alternative  Stock: ai22
Catch ai22
Year C0 Cabc Cofl LowCI_Catch Median_Catch Mean_Catch UpperCI_Catch Stdev_Catch 
2022  0 38.0719 40.258 3 3 3 3 3.95239e-014 
2023  0 38.0719 40.258 19 19 19 19 4.80919e-007 
2024  0 38.0719 40.258 19 19 19 19 1.59386e-006 
2025  0 38.0719 40.258 19 19 19 19 1.51823e-006 
2026  0 38.0719 40.258 19 19 19 19 1.14009e-006 
2027  0 38.0719 40.258 19 19 19 19 2.6494e-006 
2028  0 38.0719 40.258 19 19 19 19 4.86403e-006 
2029  0 38.0719 40.258 19 19 19 19 4.72695e-006 
2030  0 38.0719 40.258 19 19 19 19 5.06065e-006 
2031  0 38.0719 40.258 19 19 19 19 4.97581e-006 
2032  0 38.0719 40.258 19 19 19 19 4.86337e-006 
2033  0 38.0719 40.258 19 19 19 19 4.89313e-006 
2034  0 38.0719 40.258 19 19 19 19 4.97565e-006 
2035  0 38.0719 40.258 19 19 19 19 4.82517e-006 
2036  0 38.0719 40.258 0 0 0 0 0 

Spawning_Biomass ai22
Year SSB100 SSBabc SSBofl LowCI_SSB Median_SSB Mean_SSB UpperCI_SSB Stdev_SSB 
2022 174.218 69.6872 60.9763 79.8069 79.8069 79.8069 79.8069 1.7053e-012 
2023 174.218 69.6872 60.9763 77.3378 77.3388 77.34 77.3466 0.00358137 
2024 174.218 69.6872 60.9763 72.6221 72.6354 72.6496 72.7253 0.0417634 
2025 174.218 69.6872 60.9763 69.52 69.7203 69.9512 71.1663 0.670579 
2026 174.218 69.6872 60.9763 65.0423 67.7555 70.7207 86.583 8.80682 
2027 174.218 69.6872 60.9763 58.9154 68.1908 74.6799 111.602 20.2056 
2028 174.218 69.6872 60.9763 52.6808 71.7558 80.7442 142.14 31.561 
2029 174.218 69.6872 60.9763 47.4993 77.2016 87.2768 162.466 39.0316 
2030 174.218 69.6872 60.9763 43.6322 82.3818 93.7667 177.038 45.8574 
2031 174.218 69.6872 60.9763 40.7609 88.878 99.6326 198.105 52.0637 
2032 174.218 69.6872 60.9763 41.7514 92.821 104.509 203.774 55.8744 
2033 174.218 69.6872 60.9763 40.4202 97.7146 108.443 211.335 58.0152 
2034 174.218 69.6872 60.9763 38.8217 100.231 111.639 217.347 58.8785 
2035 174.218 69.6872 60.9763 37.8519 103.895 113.789 221.643 59.7068 
2036 174.218 69.6872 60.9763 38.7134 106.364 116.591 230.765 60.1675 

Fishing_mortalityai22
Year F0 Fabc Fofl LowCI_F Median_F Mean_F UpperCI_F Stdev_F 
2022  0 0.305473 0.37995 0.018114 0.018114 0.018114 0.018114 1.04083e-017 
2023  0 0.305473 0.37995 0.123339 0.124039 0.123927 0.124128 0.000318492 
2024  0 0.305473 0.37995 0.135658 0.138173 0.137786 0.138665 0.0011455 
2025  0 0.305473 0.37995 0.138857 0.146611 0.145505 0.148452 0.00352272 
2026  0 0.305473 0.37995 0.126734 0.147774 0.144848 0.153372 0.00920443 
2027  0 0.305473 0.37995 0.102839 0.145505 0.140545 0.16153 0.0189175 
2028  0 0.305473 0.37995 0.0775745 0.14048 0.135957 0.177712 0.0307699 
2029  0 0.305473 0.37995 0.0610425 0.13155 0.132263 0.200881 0.0425831 
2030  0 0.305473 0.37995 0.053688 0.121881 0.129069 0.229401 0.0539844 
2031  0 0.305473 0.37995 0.0493744 0.113257 0.125879 0.249031 0.0622261 
2032  0 0.305473 0.37995 0.0453926 0.106174 0.123333 0.256685 0.0692049 
2033  0 0.305473 0.37995 0.0443127 0.101893 0.121595 0.254408 0.0767868 
2034  0 0.305473 0.37995 0.0432702 0.0976747 0.120259 0.266498 0.0844437 
2035  0 0.305473 0.37995 0.0418215 0.0939151 0.118834 0.267688 0.0882513 
2036  0 0.305473 0.37995 0 0 0 0 0 

Total_Biomassai22
Year B100 Babc Bofl LowCI_Biom Median_Biom Mean_Biom UpperCI_Biom Stdev_Biom 
2022 1060.57 295.687 274.53 253.922 253.922 253.922 253.922 4.49063e-012 
2023 1060.57 295.687 274.53 251.941 257.294 264.173 299.847 19.5783 
2024 1060.57 295.687 274.53 235.947 253.995 265.892 338.258 37.2805 
2025 1060.57 295.687 274.53 219.848 257.663 275.1 391.24 61.4126 
2026 1060.57 295.687 274.53 205.606 267.312 289.147 451.771 83.9102 
2027 1060.57 295.687 274.53 192.686 280.235 305.904 502.925 106.529 
2028 1060.57 295.687 274.53 183.93 292.168 323.471 561.344 128.497 
2029 1060.57 295.687 274.53 176.676 311.994 340.182 608.188 144.517 
2030 1060.57 295.687 274.53 172.631 328.256 354.707 631.435 156.383 
2031 1060.57 295.687 274.53 169.1 336.8 367.255 658.82 163.8 
2032 1060.57 295.687 274.53 167.315 345.478 376.445 663.729 168.804 
2033 1060.57 295.687 274.53 162.532 356.103 383.906 699.313 171.766 
2034 1060.57 295.687 274.53 163.537 366.503 390.228 712.202 172.043 
2035 1060.57 295.687 274.53 170.581 370.223 395.185 718.493 172.033 
2036 1060.57 295.687 274.53 177.156 372.269 399.822 718.554 171.099 
Alternative 6 Alternative  Stock: ai22
Catch ai22
Year C0 Cabc Cofl LowCI_Catch Median_Catch Mean_Catch UpperCI_Catch Stdev_Catch 
2022  0 38.0719 40.258 3 3 3 3 3.95239e-014 
2023  0 38.0719 40.258 52.2943 52.3335 52.3838 52.6451 0.1434 
2024  0 38.0719 40.258 33.13 33.2735 33.3911 34.0175 0.349648 
2025  0 38.0719 40.258 25.601 26.0681 26.4409 28.4742 1.17147 
2026  0 38.0719 40.258 22.1472 24.2776 26.3068 38.4187 5.51163 
2027  0 38.0719 40.258 18.8612 24.902 28.6871 49.2881 10.854 
2028  0 38.0719 40.258 15.9949 27.6406 32.2611 62.7325 16.449 
2029  0 38.0719 40.258 13.8165 30.599 35.6159 73.6605 19.9048 
2030  0 38.0719 40.258 12.6461 33.107 37.8994 76.7965 21.7071 
2031  0 38.0719 40.258 13.231 33.982 39.0363 79.188 22.6087 
2032  0 38.0719 40.258 12.9552 34.4418 39.5529 80.022 22.9145 
2033  0 38.0719 40.258 12.5015 34.5071 39.5007 81.0426 22.7058 
2034  0 38.0719 40.258 12.3535 35.0304 39.2673 79.607 22.0501 
2035  0 38.0719 40.258 12.7608 33.687 38.821 78.7391 21.7923 
2036  0 38.0719 40.258 12.5959 33.2961 38.4884 80.101 21.8108 

Spawning_Biomass ai22
Year SSB100 SSBabc SSBofl LowCI_SSB Median_SSB Mean_SSB UpperCI_SSB Stdev_SSB 
2022 174.218 69.6872 60.9763 79.8069 79.8069 79.8069 79.8069 1.7053e-012 
2023 174.218 69.6872 60.9763 74.5184 74.5184 74.5184 74.5184 1.80487e-007 
2024 174.218 69.6872 60.9763 58.7206 58.7241 58.7286 58.7516 0.0126697 
2025 174.218 69.6872 60.9763 52.3941 52.5463 52.7364 53.7244 0.543792 
