
SB0 SB40 SB35 MeanRec HarMeanRec Bnow
182.55 73.0198 63.8923 0.227488 0.0785663 81.8256 
CV Recruit
1.37677 
Alternative 1 Alternative  Stock: ai22_2
Catch ai22_2
Year C0 Cabc Cofl LowCI_Catch Median_Catch Mean_Catch UpperCI_Catch Stdev_Catch 
2025 1226.45 364.526 341.38 266.754 325.721 353.569 538.025 96.1075 
2026 1226.45 364.526 341.38 251.947 346.056 378.588 625.412 126.11 
2027 1226.45 364.526 341.38 238.523 363.962 403.4 690.04 154.566 
2028 1226.45 364.526 341.38 227.591 383.587 426.276 772.783 180.829 
2029 1226.45 364.526 341.38 223.53 403.991 445.971 816.846 197.068 
2030 1226.45 364.526 341.38 219.338 422.354 461.031 835.971 208.029 
2031 1226.45 364.526 341.38 214.508 430.346 473.334 852.244 213.154 
2032 1226.45 364.526 341.38 210.777 443.476 479.408 875.765 215.197 
2033 1226.45 364.526 341.38 206.128 444.358 483.748 887.724 216.12 
2034 1226.45 364.526 341.38 210.036 453.587 487.011 888.892 213.009 
2035 1226.45 364.526 341.38 217.955 453.483 489.052 904.175 211.038 
2036 1226.45 364.526 341.38 221.223 453.913 492.111 882.248 208.569 
Alternative 2 Alternative  Stock: ai22_2
Catch ai22_2
Year C0 Cabc Cofl LowCI_Catch Median_Catch Mean_Catch UpperCI_Catch Stdev_Catch 
2022  0 45.8016 48.8559 3 3 3 3 5.01821e-014 
2023  0 45.8016 48.8559 19 19 19 19 7.03238e-007 
2024  0 45.8016 48.8559 19 19 19 19 8.15622e-007 
2025  0 45.8016 48.8559 19 19 19 19 7.98063e-007 
2026  0 45.8016 48.8559 19 19 19 19 3.99261e-006 
2027  0 45.8016 48.8559 19 19 19 19 2.54732e-006 
2028  0 45.8016 48.8559 19 19 19 19 4.89615e-006 
2029  0 45.8016 48.8559 19 19 19 19 4.6986e-006 
2030  0 45.8016 48.8559 19 19 19 19 4.72035e-006 
2031  0 45.8016 48.8559 19 19 19 19 4.64609e-006 
2032  0 45.8016 48.8559 19 19 19 19 4.76359e-006 
2033  0 45.8016 48.8559 19 19 19 19 4.88026e-006 
2034  0 45.8016 48.8559 19 19 19 19 4.74257e-006 
2035  0 45.8016 48.8559 19 19 19 19 4.72704e-006 
2036  0 45.8016 48.8559 18.7616 76.0756 82.8522 168.079 46.4206 

Spawning_Biomass ai22_2
Year SSB100 SSBabc SSBofl LowCI_SSB Median_SSB Mean_SSB UpperCI_SSB Stdev_SSB 
2022 182.55 73.0198 63.8923 78.2401 78.2401 78.2401 78.2401 1.23634e-012 
2023 182.55 73.0198 63.8923 76.1843 76.1855 76.187 76.1952 0.00443835 
2024 182.55 73.0198 63.8923 74.1676 74.1843 74.2029 74.3022 0.0547184 
2025 182.55 73.0198 63.8923 75.2431 75.5144 75.8498 77.6094 0.968356 
2026 182.55 73.0198 63.8923 73.0811 76.7271 80.9179 103.195 12.3847 
2027 182.55 73.0198 63.8923 67.1852 79.3971 88.1401 138.375 27.1803 
2028 182.55 73.0198 63.8923 60.4774 84.7024 96.5267 178.165 40.8154 
2029 182.55 73.0198 63.8923 54.9209 91.7667 104.657 199.953 49.0413 
2030 182.55 73.0198 63.8923 51.2843 98.0392 111.871 216.235 56.272 
2031 182.55 73.0198 63.8923 48.6367 103.984 117.717 233.909 62.4854 
2032 182.55 73.0198 63.8923 48.8204 107.657 122.143 239.147 65.6289 
2033 182.55 73.0198 63.8923 47.056 111.542 125.256 243.281 66.7577 
2034 182.55 73.0198 63.8923 45.9428 114.378 127.487 251.481 66.4979 
2035 182.55 73.0198 63.8923 44.7483 115.902 128.291 251.579 66.5922 
2036 182.55 73.0198 63.8923 45.6551 110.995 123.425 239.923 62.7433 

Fishing_mortalityai22_2
Year F0 Fabc Fofl LowCI_F Median_F Mean_F UpperCI_F Stdev_F 
2022  0 0.411432 0.526075 0.019542 0.019542 0.019542 0.019542 2.42861e-017 
2023  0 0.411432 0.526075 0.133948 0.134894 0.134743 0.135009 0.000430009 
2024  0 0.411432 0.526075 0.146557 0.149766 0.149263 0.150383 0.00146993 
2025  0 0.411432 0.526075 0.144609 0.153705 0.152407 0.155856 0.00413859 
2026  0 0.411432 0.526075 0.12459 0.146662 0.143624 0.152434 0.00958345 
2027  0 0.411432 0.526075 0.0966093 0.137601 0.132835 0.152501 0.0179254 
2028  0 0.411432 0.526075 0.0715992 0.129535 0.125168 0.162498 0.0278808 
2029  0 0.411432 0.526075 0.0555959 0.120816 0.12132 0.18296 0.0385164 
2030  0 0.411432 0.526075 0.0488214 0.113186 0.119381 0.210295 0.0496816 
2031  0 0.411432 0.526075 0.0449939 0.105576 0.117017 0.230022 0.0572741 
2032  0 0.411432 0.526075 0.04244 0.100418 0.115209 0.239179 0.0633634 
2033  0 0.411432 0.526075 0.041846 0.0971372 0.114273 0.236409 0.0696584 
2034  0 0.411432 0.526075 0.040955 0.0944952 0.113658 0.250092 0.0753302 
2035  0 0.411432 0.526075 0.0400612 0.0921342 0.112896 0.247451 0.0772669 
2036  0 0.411432 0.526075 0.24913 0.411432 0.385938 0.411432 0.0711713 

Total_Biomassai22_2
Year B100 Babc Bofl LowCI_Biom Median_Biom Mean_Biom UpperCI_Biom Stdev_Biom 
2022 1226.45 364.526 341.38 295.203 295.203 295.203 295.203 2.44427e-012 
2023 1226.45 364.526 341.38 295.529 304.897 317.399 382.472 35.7554 
2024 1226.45 364.526 341.38 282.081 310.88 331.677 460.003 61.9424 
2025 1226.45 364.526 341.38 266.754 325.721 353.569 538.025 96.1075 
2026 1226.45 364.526 341.38 251.947 346.056 378.588 625.412 126.11 
2027 1226.45 364.526 341.38 238.523 363.962 403.4 690.04 154.566 
2028 1226.45 364.526 341.38 227.591 383.587 426.276 772.783 180.829 
2029 1226.45 364.526 341.38 223.53 403.991 445.971 816.846 197.068 
2030 1226.45 364.526 341.38 219.338 422.354 461.031 835.971 208.029 
2031 1226.45 364.526 341.38 214.508 430.346 473.334 852.244 213.154 
2032 1226.45 364.526 341.38 210.777 443.476 479.408 875.765 215.197 
2033 1226.45 364.526 341.38 206.128 444.358 483.748 887.724 216.12 
2034 1226.45 364.526 341.38 210.036 453.587 487.011 888.892 213.009 
2035 1226.45 364.526 341.38 217.955 453.483 489.052 904.175 211.038 
2036 1226.45 364.526 341.38 221.223 453.913 492.111 882.248 208.569 
Alternative 3 Alternative  Stock: ai22_2
Catch ai22_2
Year C0 Cabc Cofl LowCI_Catch Median_Catch Mean_Catch UpperCI_Catch Stdev_Catch 
2022  0 45.8016 48.8559 3 3 3 3 5.01821e-014 
2023  0 45.8016 48.8559 19 19 19 19 7.03238e-007 
2024  0 45.8016 48.8559 19 19 19 19 8.15622e-007 
2025  0 45.8016 48.8559 19 19 19 19 7.98063e-007 
2026  0 45.8016 48.8559 19 19 19 19 3.99261e-006 
2027  0 45.8016 48.8559 19 19 19 19 2.54732e-006 
2028  0 45.8016 48.8559 19 19 19 19 4.89615e-006 
2029  0 45.8016 48.8559 19 19 19 19 4.6986e-006 
2030  0 45.8016 48.8559 19 19 19 19 4.72035e-006 
2031  0 45.8016 48.8559 19 19 19 19 4.64609e-006 
2032  0 45.8016 48.8559 19 19 19 19 4.76359e-006 
2033  0 45.8016 48.8559 19 19 19 19 4.88026e-006 
2034  0 45.8016 48.8559 19 19 19 19 4.74257e-006 
2035  0 45.8016 48.8559 19 19 19 19 4.72704e-006 
2036  0 45.8016 48.8559 2.20288 5.73562 6.39478 12.7079 3.38189 

Spawning_Biomass ai22_2
Year SSB100 SSBabc SSBofl LowCI_SSB Median_SSB Mean_SSB UpperCI_SSB Stdev_SSB 
2022 182.55 73.0198 63.8923 78.2401 78.2401 78.2401 78.2401 1.23634e-012 
2023 182.55 73.0198 63.8923 76.1843 76.1855 76.187 76.1952 0.00443835 
2024 182.55 73.0198 63.8923 74.1676 74.1843 74.2029 74.3022 0.0547184 
2025 182.55 73.0198 63.8923 75.2431 75.5144 75.8498 77.6094 0.968356 
2026 182.55 73.0198 63.8923 73.0811 76.7271 80.9179 103.195 12.3847 
2027 182.55 73.0198 63.8923 67.1852 79.3971 88.1401 138.375 27.1803 
2028 182.55 73.0198 63.8923 60.4774 84.7024 96.5267 178.165 40.8154 
2029 182.55 73.0198 63.8923 54.9209 91.7667 104.657 199.953 49.0413 
2030 182.55 73.0198 63.8923 51.2843 98.0392 111.871 216.235 56.272 
2031 182.55 73.0198 63.8923 48.6367 103.984 117.717 233.909 62.4854 
2032 182.55 73.0198 63.8923 48.8204 107.657 122.143 239.147 65.6289 
2033 182.55 73.0198 63.8923 47.056 111.542 125.256 243.281 66.7577 
2034 182.55 73.0198 63.8923 45.9428 114.378 127.487 251.481 66.4979 
2035 182.55 73.0198 63.8923 44.7483 115.902 128.291 251.579 66.5922 
2036 182.55 73.0198 63.8923 46.7489 116.504 129.332 251.906 66.0393 

Fishing_mortalityai22_2
Year F0 Fabc Fofl LowCI_F Median_F Mean_F UpperCI_F Stdev_F 
2022  0 0.411432 0.526075 0.019542 0.019542 0.019542 0.019542 2.42861e-017 
2023  0 0.411432 0.526075 0.133948 0.134894 0.134743 0.135009 0.000430009 
2024  0 0.411432 0.526075 0.146557 0.149766 0.149263 0.150383 0.00146993 
2025  0 0.411432 0.526075 0.144609 0.153705 0.152407 0.155856 0.00413859 
2026  0 0.411432 0.526075 0.12459 0.146662 0.143624 0.152434 0.00958345 
2027  0 0.411432 0.526075 0.0966093 0.137601 0.132835 0.152501 0.0179254 
2028  0 0.411432 0.526075 0.0715992 0.129535 0.125168 0.162498 0.0278808 
2029  0 0.411432 0.526075 0.0555959 0.120816 0.12132 0.18296 0.0385164 
2030  0 0.411432 0.526075 0.0488214 0.113186 0.119381 0.210295 0.0496816 
2031  0 0.411432 0.526075 0.0449939 0.105576 0.117017 0.230022 0.0572741 
2032  0 0.411432 0.526075 0.04244 0.100418 0.115209 0.239179 0.0633634 
2033  0 0.411432 0.526075 0.041846 0.0971372 0.114273 0.236409 0.0696584 
2034  0 0.411432 0.526075 0.040955 0.0944952 0.113658 0.250092 0.0753302 
2035  0 0.411432 0.526075 0.0400612 0.0921342 0.112896 0.247451 0.0772669 
2036  0 0.411432 0.526075 0.0269599 0.0269599 0.0269599 0.0269599 3.81639e-016 

Total_Biomassai22_2
Year B100 Babc Bofl LowCI_Biom Median_Biom Mean_Biom UpperCI_Biom Stdev_Biom 
2022 1226.45 364.526 341.38 295.203 295.203 295.203 295.203 2.44427e-012 
2023 1226.45 364.526 341.38 295.529 304.897 317.399 382.472 35.7554 
2024 1226.45 364.526 341.38 282.081 310.88 331.677 460.003 61.9424 
2025 1226.45 364.526 341.38 266.754 325.721 353.569 538.025 96.1075 
2026 1226.45 364.526 341.38 251.947 346.056 378.588 625.412 126.11 
2027 1226.45 364.526 341.38 238.523 363.962 403.4 690.04 154.566 
2028 1226.45 364.526 341.38 227.591 383.587 426.276 772.783 180.829 
2029 1226.45 364.526 341.38 223.53 403.991 445.971 816.846 197.068 
2030 1226.45 364.526 341.38 219.338 422.354 461.031 835.971 208.029 
2031 1226.45 364.526 341.38 214.508 430.346 473.334 852.244 213.154 
2032 1226.45 364.526 341.38 210.777 443.476 479.408 875.765 215.197 
2033 1226.45 364.526 341.38 206.128 444.358 483.748 887.724 216.12 
2034 1226.45 364.526 341.38 210.036 453.587 487.011 888.892 213.009 
2035 1226.45 364.526 341.38 217.955 453.483 489.052 904.175 211.038 
2036 1226.45 364.526 341.38 221.223 453.913 492.111 882.248 208.569 
Alternative 4 Alternative  Stock: ai22_2
Catch ai22_2
Year C0 Cabc Cofl LowCI_Catch Median_Catch Mean_Catch UpperCI_Catch Stdev_Catch 
2022  0 45.8016 48.8559 3 3 3 3 5.01821e-014 
2023  0 45.8016 48.8559 19 19 19 19 7.03238e-007 
2024  0 45.8016 48.8559 19 19 19 19 8.15622e-007 
2025  0 45.8016 48.8559 19 19 19 19 7.98063e-007 
2026  0 45.8016 48.8559 19 19 19 19 3.99261e-006 
2027  0 45.8016 48.8559 19 19 19 19 2.54732e-006 
2028  0 45.8016 48.8559 19 19 19 19 4.89615e-006 
2029  0 45.8016 48.8559 19 19 19 19 4.6986e-006 
2030  0 45.8016 48.8559 19 19 19 19 4.72035e-006 
2031  0 45.8016 48.8559 19 19 19 19 4.64609e-006 
2032  0 45.8016 48.8559 19 19 19 19 4.76359e-006 
2033  0 45.8016 48.8559 19 19 19 19 4.88026e-006 
2034  0 45.8016 48.8559 19 19 19 19 4.74257e-006 
2035  0 45.8016 48.8559 19 19 19 19 4.72704e-006 
2036  0 45.8016 48.8559 12.8092 33.159 36.856 73.4144 19.811 

Spawning_Biomass ai22_2
Year SSB100 SSBabc SSBofl LowCI_SSB Median_SSB Mean_SSB UpperCI_SSB Stdev_SSB 
2022 182.55 73.0198 63.8923 78.2401 78.2401 78.2401 78.2401 1.23634e-012 
2023 182.55 73.0198 63.8923 76.1843 76.1855 76.187 76.1952 0.00443835 
2024 182.55 73.0198 63.8923 74.1676 74.1843 74.2029 74.3022 0.0547184 
2025 182.55 73.0198 63.8923 75.2431 75.5144 75.8498 77.6094 0.968356 
2026 182.55 73.0198 63.8923 73.0811 76.7271 80.9179 103.195 12.3847 
2027 182.55 73.0198 63.8923 67.1852 79.3971 88.1401 138.375 27.1803 
2028 182.55 73.0198 63.8923 60.4774 84.7024 96.5267 178.165 40.8154 
2029 182.55 73.0198 63.8923 54.9209 91.7667 104.657 199.953 49.0413 
2030 182.55 73.0198 63.8923 51.2843 98.0392 111.871 216.235 56.272 
2031 182.55 73.0198 63.8923 48.6367 103.984 117.717 233.909 62.4854 
2032 182.55 73.0198 63.8923 48.8204 107.657 122.143 239.147 65.6289 
2033 182.55 73.0198 63.8923 47.056 111.542 125.256 243.281 66.7577 
2034 182.55 73.0198 63.8923 45.9428 114.378 127.487 251.481 66.4979 
2035 182.55 73.0198 63.8923 44.7483 115.902 128.291 251.579 66.5922 
2036 182.55 73.0198 63.8923 46.0826 114.501 127.144 247.231 64.8763 

Fishing_mortalityai22_2
Year F0 Fabc Fofl LowCI_F Median_F Mean_F UpperCI_F Stdev_F 
2022  0 0.411432 0.526075 0.019542 0.019542 0.019542 0.019542 2.42861e-017 
2023  0 0.411432 0.526075 0.133948 0.134894 0.134743 0.135009 0.000430009 
2024  0 0.411432 0.526075 0.146557 0.149766 0.149263 0.150383 0.00146993 
2025  0 0.411432 0.526075 0.144609 0.153705 0.152407 0.155856 0.00413859 
2026  0 0.411432 0.526075 0.12459 0.146662 0.143624 0.152434 0.00958345 
2027  0 0.411432 0.526075 0.0966093 0.137601 0.132835 0.152501 0.0179254 
2028  0 0.411432 0.526075 0.0715992 0.129535 0.125168 0.162498 0.0278808 
2029  0 0.411432 0.526075 0.0555959 0.120816 0.12132 0.18296 0.0385164 
2030  0 0.411432 0.526075 0.0488214 0.113186 0.119381 0.210295 0.0496816 
2031  0 0.411432 0.526075 0.0449939 0.105576 0.117017 0.230022 0.0572741 
2032  0 0.411432 0.526075 0.04244 0.100418 0.115209 0.239179 0.0633634 
2033  0 0.411432 0.526075 0.041846 0.0971372 0.114273 0.236409 0.0696584 
2034  0 0.411432 0.526075 0.040955 0.0944952 0.113658 0.250092 0.0753302 
2035  0 0.411432 0.526075 0.0400612 0.0921342 0.112896 0.247451 0.0772669 
2036  0 0.411432 0.526075 0.164574 0.164574 0.161118 0.164574 0.0235973 

Total_Biomassai22_2
Year B100 Babc Bofl LowCI_Biom Median_Biom Mean_Biom UpperCI_Biom Stdev_Biom 
2022 1226.45 364.526 341.38 295.203 295.203 295.203 295.203 2.44427e-012 
2023 1226.45 364.526 341.38 295.529 304.897 317.399 382.472 35.7554 
2024 1226.45 364.526 341.38 282.081 310.88 331.677 460.003 61.9424 
2025 1226.45 364.526 341.38 266.754 325.721 353.569 538.025 96.1075 
2026 1226.45 364.526 341.38 251.947 346.056 378.588 625.412 126.11 
2027 1226.45 364.526 341.38 238.523 363.962 403.4 690.04 154.566 
2028 1226.45 364.526 341.38 227.591 383.587 426.276 772.783 180.829 
2029 1226.45 364.526 341.38 223.53 403.991 445.971 816.846 197.068 
2030 1226.45 364.526 341.38 219.338 422.354 461.031 835.971 208.029 
2031 1226.45 364.526 341.38 214.508 430.346 473.334 852.244 213.154 
2032 1226.45 364.526 341.38 210.777 443.476 479.408 875.765 215.197 
2033 1226.45 364.526 341.38 206.128 444.358 483.748 887.724 216.12 
2034 1226.45 364.526 341.38 210.036 453.587 487.011 888.892 213.009 
2035 1226.45 364.526 341.38 217.955 453.483 489.052 904.175 211.038 
2036 1226.45 364.526 341.38 221.223 453.913 492.111 882.248 208.569 
Alternative 5 Alternative  Stock: ai22_2
Catch ai22_2
Year C0 Cabc Cofl LowCI_Catch Median_Catch Mean_Catch UpperCI_Catch Stdev_Catch 
2022  0 45.8016 48.8559 3 3 3 3 5.01821e-014 
2023  0 45.8016 48.8559 19 19 19 19 7.03238e-007 
2024  0 45.8016 48.8559 19 19 19 19 8.15622e-007 
2025  0 45.8016 48.8559 19 19 19 19 7.98063e-007 
2026  0 45.8016 48.8559 19 19 19 19 3.99261e-006 
2027  0 45.8016 48.8559 19 19 19 19 2.54732e-006 
2028  0 45.8016 48.8559 19 19 19 19 4.89615e-006 
2029  0 45.8016 48.8559 19 19 19 19 4.6986e-006 
2030  0 45.8016 48.8559 19 19 19 19 4.72035e-006 
2031  0 45.8016 48.8559 19 19 19 19 4.64609e-006 
2032  0 45.8016 48.8559 19 19 19 19 4.76359e-006 
2033  0 45.8016 48.8559 19 19 19 19 4.88026e-006 
2034  0 45.8016 48.8559 19 19 19 19 4.74257e-006 
2035  0 45.8016 48.8559 19 19 19 19 4.72704e-006 
2036  0 45.8016 48.8559 0 0 0 0 0 

Spawning_Biomass ai22_2
Year SSB100 SSBabc SSBofl LowCI_SSB Median_SSB Mean_SSB UpperCI_SSB Stdev_SSB 
2022 182.55 73.0198 63.8923 78.2401 78.2401 78.2401 78.2401 1.23634e-012 
2023 182.55 73.0198 63.8923 76.1843 76.1855 76.187 76.1952 0.00443835 
2024 182.55 73.0198 63.8923 74.1676 74.1843 74.2029 74.3022 0.0547184 
